R;G;B
173;178;152
173;178;152
174;179;152
174;179;152
174;180;152
174;180;152
175;180;153
173;178;151
173;178;151
172;178;150
170;176;150
170;176;150
168;174;148
168;174;148
169;174;149
170;175;150
170;175;150
170;175;150
170;175;150
172;177;151
172;177;151
172;176;150
172;176;150
173;178;151
173;178;151
172;177;150
172;177;150
173;179;152
173;179;152
174;180;152
174;180;152
174;180;152
175;180;152
175;180;152
174;179;151
174;179;151
172;178;151
172;178;151
172;178;151
172;177;150
172;177;150
172;177;150
171;176;150
171;176;150
171;176;150
172;178;151
172;178;151
172;178;151
172;178;151
174;179;151
174;180;152
174;180;152
175;181;152
175;181;153
175;181;153
175;181;153
176;182;153
176;182;153
176;182;153
175;180;153
175;180;153
175;180;153
175;180;153
175;180;152
175;180;152
173;178;151
173;178;151
173;178;151
172;177;150
170;176;149
170;176;149
169;174;149
169;174;149
168;173;148
168;173;148
167;173;147
167;173;147
168;174;148
168;174;148
168;174;148
168;174;148
168;174;149
168;174;149
170;175;149
171;176;150
171;176;150
172;177;150
172;177;150
174;179;152
174;179;152
174;179;151
174;179;151
174;179;151
175;180;152
175;180;152
175;180;152
174;180;152
174;180;152
175;180;153
175;180;153
175;180;153
175;180;153
176;182;154
176;182;154
176;182;154
175;181;153
175;181;153
175;181;153
175;181;153
174;180;152
174;180;152
175;180;152
175;181;153
175;181;153
175;181;153
175;181;153
175;181;153
176;181;153
176;181;153
176;181;153
176;181;153
178;183;155
178;183;155
179;184;156
179;184;156
181;186;157
181;186;157
182;188;158
182;188;158
183;188;158
183;189;158
183;189;158
185;190;160
185;190;160
185;190;160
185;190;160
185;191;160
185;191;160
184;190;159
183;189;158
183;189;158
181;187;157
181;187;157
180;186;157
180;186;157
179;184;155
179;184;155
179;184;155
178;183;154
178;183;154
178;183;154
178;183;154
177;183;154
177;183;154
177;183;154
177;183;154
178;183;155
178;183;155
177;182;155
177;182;155
177;182;155
177;182;154
177;182;154
177;182;154
177;182;154
