R;G;B
32;101;116
32;101;116
32;101;116
33;102;116
32;102;116
32;101;116
32;101;116
33;101;116
32;101;116
33;101;116
32;100;116
33;101;117
32;100;117
32;100;117
32;100;117
32;100;117
32;100;117
32;100;117
32;101;116
32;101;116
32;101;116
32;101;116
30;96;110
30;95;109
30;93;107
29;92;107
28;87;102
28;88;102
28;88;102
28;88;103
28;88;103
29;89;104
31;97;112
32;100;116
32;102;118
32;102;118
32;102;119
33;101;116
33;100;116
33;100;116
32;101;117
33;102;118
33;102;118
33;103;118
32;103;119
33;104;120
34;106;122
34;106;122
34;106;122
34;106;122
34;106;122
34;106;122
34;105;122
34;105;122
33;104;120
33;103;119
32;101;117
32;101;117
32;100;116
32;100;115
32;100;115
31;98;114
31;97;113
31;97;113
31;97;113
31;97;113
31;97;113
30;95;111
30;95;110
31;96;111
31;95;110
31;95;110
31;95;110
30;95;110
30;96;111
31;97;112
31;97;112
32;99;114
32;99;114
32;101;117
32;101;117
32;101;118
33;103;120
33;103;119
33;103;119
34;105;121
34;106;121
34;106;121
34;106;121
34;105;121
34;105;121
34;105;120
33;104;119
33;103;118
33;103;118
32;102;117
32;101;117
32;101;116
32;101;116
32;101;116
32;100;116
32;100;115
32;100;115
32;100;115
32;100;115
32;100;115
32;100;114
32;100;114
32;100;114
32;100;114
32;99;114
32;99;114
32;98;113
31;97;113
31;97;112
31;97;112
31;96;111
31;96;111
29;95;110
29;95;110
29;95;110
29;95;110
31;97;111
31;97;111
31;97;111
31;98;112
32;99;113
32;99;113
32;99;113
32;100;115
32;100;115
32;100;115
32;100;116
32;100;115
32;100;115
33;100;116
32;100;116
31;100;115
31;100;115
32;101;116
33;101;117
33;101;117
33;102;118
33;102;118
32;103;118
32;103;118
33;104;119
33;105;120
33;105;120
34;105;121
34;106;121
33;106;121
33;106;121
33;105;120
33;104;119
33;104;119
33;103;118
33;102;118
32;102;117
32;100;116
32;100;116
31;97;113
31;96;111
30;95;110
30;94;108
30;93;108
28;88;102
28;88;102
28;88;102
28;88;102
30;93;107
30;94;109
30;95;110
31;97;112
31;98;113
31;98;113
31;96;111
31;96;111
29;93;109
29;93;109
29;92;107
30;93;107
30;93;107
30;93;107
29;93;107
31;95;109
31;95;109
31;95;110
31;95;110
31;96;110
31;96;110
32;96;111
33;101;116
33;101;116
33;101;116
33;101;117
33;103;118
33;103;118
33;102;118
33;102;118
32;101;116
32;101;116
33;101;117
32;101;116
32;101;116
31;98;114
31;97;112
31;97;112
31;97;112
31;97;112
31;97;112
31;97;112
30;95;110
30;94;110
30;95;109
30;95;110
30;95;110
30;93;108
30;93;108
30;93;108
29;93;108
29;93;108
29;92;107
29;92;107
29;92;107
30;91;107
30;91;107
29;92;107
30;92;107
30;92;107
29;92;107
29;92;107
30;94;108
30;94;108
30;94;108
30;94;108
30;94;108
31;94;109
31;94;109
31;94;109
30;95;110
30;95;109
30;95;109
30;95;109
31;95;110
30;96;111
30;96;111
30;96;111
30;95;110
30;95;111
30;94;108
30;94;108
30;93;108
30;93;108
29;93;108
29;93;108
30;93;108
30;94;108
30;94;108
30;94;108
30;94;108
29;93;108
29;93;107
29;93;107
29;92;107
29;92;107
29;92;107
29;92;106
29;92;106
29;91;106
29;91;106
30;92;106
29;93;107
29;93;107
29;93;107
31;95;109
31;95;109
31;95;109
31;95;109
31;95;109
31;96;110
31;96;110
30;96;110
30;96;110
30;96;110
30;96;110
31;96;110
32;98;113
32;98;113
32;98;113
32;98;113
31;99;113
31;99;113
32;99;113
32;99;113
32;101;116
33;101;116
32;102;116
32;102;116
32;102;117
32;102;117
34;103;118
34;104;119
35;106;121
35;106;121
35;107;123
35;107;123
35;107;123
35;107;123
35;107;123
33;105;121
33;105;121
33;105;121
33;104;121
33;104;121
34;105;121
34;105;121
34;105;121
33;103;119
32;102;118
32;102;118
34;104;120
34;104;120
34;104;120
34;104;120
33;104;120
33;104;120
33;104;119
33;104;120
33;104;120
33;104;120
33;104;120
34;104;120
34;104;120
34;104;120
34;104;120
34;104;121
33;104;120
33;104;120
34;106;122
34;106;122
34;106;122
34;106;122
34;106;122
34;107;123
34;107;123
34;107;123
35;108;125
35;108;125
34;107;124
34;107;124
34;107;124
34;107;124
35;109;125
35;109;125
35;109;125
35;109;125
35;109;125
35;109;125
35;109;126
35;109;126
35;110;125
35;111;126
35;111;126
35;111;126
35;110;126
35;110;126
35;110;125
35;110;125
35;110;125
35;109;126
35;109;126
35;109;126
35;109;126
35;109;126
35;109;126
35;109;126
35;109;126
35;108;125
35;108;125
35;108;125
35;108;125
35;108;125
35;108;125
35;108;125
35;108;125
34;109;125
35;110;125
35;110;125
35;110;125
35;109;125
35;109;125
35;110;125
35;110;125
35;110;125
35;110;126
35;110;126
35;109;126
34;107;124
35;108;125
35;107;125
35;107;125
35;107;125
35;108;125
35;108;125
35;108;125
35;108;125
35;108;125
35;108;125
34;108;125
34;108;125
34;108;125
34;108;125
34;108;125
35;109;125
35;109;125
35;109;125
36;111;127
36;111;127
36;111;127
36;111;127
35;111;127
35;111;127
36;110;127
36;110;127
35;109;127
35;109;127
35;109;127
35;109;126
35;109;126
34;108;126
34;108;126
34;108;126
34;108;126
34;109;125
34;109;125
34;109;125
34;108;124
34;108;124
34;108;124
34;109;125
34;109;125
35;109;126
35;109;126
35;109;126
35;109;126
35;109;126
35;109;126
35;109;126
35;109;126
34;109;126
35;109;126
35;109;126
35;109;126
36;110;128
36;110;128
34;109;126
34;109;126
34;109;126
34;109;126
35;110;127
35;110;127
35;110;127
35;110;127
36;110;128
36;110;128
35;109;127
35;109;127
34;108;126
34;108;126
34;108;126
35;109;127
35;109;127
35;109;127
33;108;126
33;108;126
34;105;122
33;104;120
33;104;120
34;104;121
34;104;121
33;104;121
33;104;121
33;104;120
33;104;120
33;104;120
34;105;121
33;102;119
31;101;118
31;101;118
33;102;119
32;103;120
32;103;120
33;104;121
33;104;121
33;104;121
33;104;121
36;110;126
36;110;126
36;110;126
36;111;127
36;111;127
36;112;128
36;112;128
36;113;129
36;113;129
37;115;130
37;116;131
37;116;131
37;116;131
38;117;133
38;117;133
38;117;133
37;116;133
37;116;133
37;116;132
36;115;131
36;115;131
37;115;131
37;115;131
37;114;131
37;114;131
36;114;130
36;114;130
36;114;130
36;114;130
37;114;130
37;114;130
37;114;130
36;114;130
36;114;130
37;115;131
37;115;131
37;115;130
37;115;130
37;115;131
37;115;131
36;114;130
37;115;131
37;115;131
37;114;131
37;114;131
37;114;131
37;114;131
37;114;131
36;114;131
37;114;131
37;114;131
36;114;130
36;114;130
36;114;130
36;114;130
36;114;130
36;114;130
36;114;130
36;112;128
36;112;128
36;112;128
37;112;128
37;112;128
36;112;128
36;112;128
35;111;127
35;111;127
35;111;127
35;111;127
35;111;127
35;111;127
35;112;127
35;112;127
35;112;127
35;112;127
37;113;129
37;113;129
36;113;128
36;113;128
36;113;129
36;113;129
36;113;129
37;113;129
37;113;129
37;113;129
37;113;129
37;112;129
37;112;129
37;112;129
36;112;128
37;112;129
37;112;129
36;112;128
36;112;128
36;112;128
35;111;128
35;111;128
35;113;128
35;113;128
35;113;129
35;113;129
35;113;129
35;113;129
35;113;129
36;115;130
36;115;130
36;115;130
37;117;132
37;117;132
38;118;134
38;118;134
38;118;134
38;118;134
38;119;134
38;119;134
38;119;135
38;119;135
38;117;133
38;117;133
38;117;133
37;116;132
37;116;132
37;116;132
37;116;132
37;116;132
36;116;131
36;116;131
36;115;131
36;115;131
36;115;131
36;114;130
36;114;130
35;112;128
36;111;128
36;111;128
35;111;127
35;111;127
36;111;127
36;111;127
36;111;128
36;111;128
36;112;128
36;112;127
36;112;127
36;112;127
36;112;127
36;112;128
36;112;128
35;112;128
35;112;128
35;112;128
37;113;129
37;113;129
37;113;129
37;114;129
37;114;129
37;114;129
36;114;129
37;115;130
38;116;132
38;116;132
37;115;131
37;115;131
37;115;131
37;115;131
37;116;131
37;116;131
37;115;131
36;115;129
36;115;129
36;115;129
37;115;129
37;115;129
37;114;129
37;115;130
37;115;130
37;115;129
37;115;129
36;114;129
36;114;129
36;114;129
36;114;129
37;114;129
37;114;129
36;112;127
36;112;127
36;112;127
36;112;127
36;112;127
36;112;127
37;113;128
37;113;128
37;113;128
37;113;128
37;112;128
37;112;128
35;110;126
35;110;126
36;110;126
36;110;126
35;108;124
35;108;124
34;107;122
34;107;122
34;107;122
34;107;122
36;112;127
37;114;129
37;114;130
37;114;130
37;114;130
37;114;130
38;118;134
38;118;134
38;117;133
38;117;133
36;114;130
36;114;130
37;115;131
37;113;129
37;113;129
35;111;127
35;111;127
36;112;127
36;112;127
35;111;126
35;111;126
35;111;126
35;111;126
37;115;132
37;115;132
38;116;133
38;116;133
36;117;132
36;117;132
38;119;134
38;119;134
38;120;136
38;120;136
39;124;139
39;124;139
39;124;139
39;124;139
39;124;139
39;121;137
39;121;137
39;120;136
39;120;136
38;120;136
38;120;136
39;120;136
39;120;136
39;120;136
37;117;133
37;117;133
37;117;133
37;116;132
37;116;132
36;116;131
36;116;131
37;116;131
37;116;131
36;115;130
36;115;130
36;115;130
37;114;130
37;114;130
37;114;130
37;114;130
36;114;130
36;114;130
36;114;130
36;114;130
36;115;131
36;115;131
36;115;132
36;115;132
37;116;132
37;116;132
37;117;133
37;118;134
37;118;134
38;120;136
38;120;136
39;121;137
39;121;137
40;122;138
40;122;138
40;124;139
40;124;139
40;124;139
40;124;139
