R;G;B
21;6;5
21;6;5
21;6;4
22;6;5
22;6;5
22;7;5
22;6;4
22;6;4
22;6;4
23;7;5
21;5;3
21;5;3
21;5;3
22;6;4
21;5;4
21;5;3
21;5;3
21;6;4
21;5;4
21;5;4
21;5;4
21;5;3
19;4;3
19;4;3
20;4;3
20;4;3
20;4;4
20;4;4
20;4;4
21;4;5
21;4;5
21;4;5
22;5;5
21;4;5
21;4;5
22;5;5
22;5;6
21;4;4
22;5;5
22;5;5
21;5;4
22;5;5
22;5;5
22;6;5
22;6;5
22;5;5
22;5;5
22;5;5
22;5;5
22;6;5
22;6;5
23;7;5
23;7;5
23;7;5
23;7;5
22;6;5
22;6;4
22;6;4
22;5;4
22;5;5
22;5;5
21;5;4
21;5;4
21;5;4
22;6;5
22;6;5
23;6;6
23;6;6
23;6;6
23;5;5
23;5;5
23;6;6
23;6;6
23;6;6
24;7;6
24;7;6
25;7;6
24;6;6
23;5;4
22;4;3
22;4;3
24;7;6
24;7;6
24;6;5
23;6;5
25;7;6
25;7;6
24;6;5
24;6;5
24;6;5
23;6;5
23;6;5
26;7;6
26;6;5
26;6;5
26;7;6
26;7;6
27;7;6
26;7;6
26;7;6
26;7;6
27;7;6
27;8;6
27;8;6
26;6;5
26;6;5
26;6;5
27;8;7
28;8;7
28;8;7
28;8;7
28;7;6
28;7;6
27;7;7
27;7;7
27;6;6
30;10;8
30;9;8
30;9;8
30;9;7
30;9;7
31;10;8
31;10;8
32;10;8
31;9;8
31;9;8
31;9;7
31;9;7
31;9;7
31;9;7
31;9;8
31;9;7
31;10;7
31;10;7
32;10;8
32;10;8
31;9;7
31;9;7
32;9;8
32;9;7
32;9;7
32;9;7
33;9;8
34;10;9
34;10;9
35;10;9
36;10;8
37;11;9
37;11;9
37;11;9
38;11;9
38;11;9
37;11;8
37;11;8
40;12;9
40;12;9
40;12;9
39;12;9
40;12;9
40;12;9
40;12;10
40;12;10
42;13;9
42;13;9
43;13;9
43;13;9
45;14;10
47;14;11
50;15;12
50;16;11
50;16;12
50;16;12
50;16;12
50;16;10
50;16;10
50;17;10
50;17;10
52;18;11
52;18;11
52;18;11
52;19;12
52;19;12
52;19;12
53;17;12
53;17;12
53;17;13
53;17;13
53;17;13
53;17;13
53;17;13
53;17;13
53;17;13
52;17;13
52;17;13
52;17;13
52;17;13
53;18;13
53;18;13
52;17;13
53;17;13
53;17;13
53;17;13
53;17;13
54;17;14
54;17;14
54;17;14
53;17;14
53;17;14
54;17;13
54;17;13
54;17;13
54;17;13
55;18;14
55;18;14
55;18;14
55;18;14
55;18;14
55;18;14
55;18;14
55;18;14
55;18;14
55;18;14
55;18;13
55;18;13
55;18;13
54;17;12
54;17;12
54;17;12
54;17;13
54;17;13
54;17;12
54;17;12
54;18;13
54;18;13
54;17;12
54;17;12
54;17;12
54;17;12
54;17;12
54;17;12
54;17;12
53;17;12
53;17;12
54;17;12
54;17;12
54;18;12
54;18;12
54;18;12
54;18;12
54;18;12
55;18;13
55;18;13
54;17;12
54;17;12
54;17;12
54;17;12
55;18;12
55;18;12
55;18;12
55;18;12
55;19;13
55;19;13
56;19;13
56;19;13
56;19;13
56;19;13
55;18;13
55;18;13
56;19;13
56;19;13
56;19;13
56;19;13
56;19;13
55;17;13
55;17;13
55;18;13
55;18;13
55;18;13
55;17;13
55;17;13
56;18;13
56;18;13
55;17;13
55;17;13
55;17;13
55;17;13
55;17;13
55;17;13
55;17;13
55;17;13
55;17;13
55;17;13
55;17;13
55;17;13
57;18;15
